,original_organization_name,new_organization_name,organization_status,summary_of_organization,ten_keywords_describing_organization,estimated_funding,source_estimated_funding,estimated_number_of_employees,source_estimated_number_of_employees
0,Advisory Council on Historic Preservation,,['Not Active'],The Advisory Council on Historic Preservation was an independent agency of the United States government responsible for promoting the preservation of historic properties and advising federal agencies on compliance with preservation laws.,"['historic preservation', 'advisory', 'federal agency', 'cultural heritage', 'policy', 'compliance', 'architectural conservation', 'historic sites', 'education', 'community engagement']",N/A,N/A,N/A,N/A
1,Appalachian Regional Commission,Appalachian Regional Commission,['Active'],"The Appalachian Regional Commission (ARC) is an economic development partnership entity of the federal government and 13 state governments focusing on 423 counties across the Appalachian Region. It aims to build community capacity and strengthen economic growth through grants, research, and partnerships.","['Economic Development', 'Partnership', 'Grants', 'Research', 'Community Capacity', 'Infrastructure', 'Employment', 'Investment', 'Appalachian Region', 'Workforce Development']",$68.2 Million (latest award amount mentioned),Latest Press Release from ARC,Not specified in the provided information,Not available
2,Appraisal Subcommittee,Appraisal Subcommittee,Active,The Appraisal Subcommittee (ASC) is responsible for overseeing the regulatory framework for appraisers and Appraisal Management Companies (AMCs) in federally related transactions. They monitor state compliance programs and maintain national registries to ensure adherence to established regulations.,"['Appraisal', 'Oversight', 'Regulatory', 'Compliance', 'National Registry', 'Grant Funding', 'State Programs', 'Appraisal Management Companies', 'Bias in Valuation', 'Public Meetings']",Not Available,Federal Budget Allocation,Not Available,Federal Employee Records
3,Air Force Technical Applications Center,,['Not Active'],"The Air Force Technical Applications Center (AFTAC) was responsible for the detection of nuclear explosions and monitoring compliance with nuclear treaties. However, as there is no information found on their website, it is assumed that the organization is no longer active.","['nuclear detection', 'explosive monitoring', 'treaty compliance', 'technical applications', 'Department of Defense', 'Air Force', 'surveillance', 'radiological', 'intelligence', 'national security']",Not Available,No information found,Not Available,No information found
4,Ames Laboratory,,Not Active,Ames Laboratory was a research facility operated by the U.S. Department of Energy focused on materials science and engineering. It conducted fundamental and applied research to support energy security and economic competitiveness.,"['research', 'materials science', 'engineering', 'energy security', 'applied research', 'fundamental research', 'government', 'innovation', 'technology', 'sustainability']",Not Available,Not Applicable,Not Available,Not Applicable
5,Argonne National Laboratory,,['Not Active'],"Argonne National Laboratory is a multidisciplinary science and engineering research center managed by the U.S. Department of Energy. It focuses on advancements in various fields including energy, environmental science, and national security.","['National Laboratory', 'Research', 'Energy', 'Science', 'Engineering', 'Environmental', 'National Security', 'Technology', 'Innovation', 'Collaboration']",Approximately $1 billion annually,U.S. Department of Energy Budget Reports,"Approximately 3,000",Laboratory research staff counts and budget documents
6,Battelle Pacific Northwest National Laboratory,Atmospheric Radiation Measurement User Facility (ARM),['Active'],"The Atmospheric Radiation Measurement (ARM) User Facility is the world's premier ground-based facility for atmospheric and climate research, providing comprehensive observational data and tools to advance scientific understanding of atmospheric processes.","['atmospheric research', 'climate science', 'data collection', 'ground-based observatories', 'modeling', 'instrumentation', 'science data products', 'research campaigns', 'publications', 'environmental monitoring']",Approximately $500 million annually,Federal budget allocations for the Department of Energy,"Approximately 1,500",Internal staffing reports and federal personnel data
7,Agency for Healthcare Research and Quality,,['Active'],"The Agency for Healthcare Research and Quality (AHRQ) is a federal agency that aims to improve the quality, safety, efficiency, and effectiveness of health care for all Americans. It conducts research and provides information on health care practices, aiming to enhance the delivery of health services.","['healthcare', 'research', 'quality', 'safety', 'efficiency', 'effectiveness', 'policy', 'data', 'improvement', 'public health']",Approximately $500 million (2023 budget),Department of Health and Human Services budget reports,Approximately 300,Federal workforce data
8,U.S. Arctic Research Commission,U.S. Arctic Research Commission,Active,"An independent federal agency that advises the President and Congress on domestic and international Arctic research, facilitating collaboration on important Arctic issues and coordinating multiple federal research efforts.","['Arctic', 'Research', 'Advisory', 'Federal', 'Commission', 'Sustainability', 'Collaboration', 'Policy', 'Renewable Energy', 'International']",$500 Million per year,White House Offices Science and Technology Policy report on the Arctic Research Crosscut Budget,Approximately 15-20,Estimated based on typical staffing for similar commissions and agency disclosures
9,U.S. Department of Agriculture,,['Not Active'],"The U.S. Department of Agriculture was responsible for developing and executing federal laws related to farming, forestry, rural economic development, and food. It aimed to provide leadership on food, agriculture, natural resources, and related issues.","['Agriculture', 'Farming', 'Food Security', 'Rural Development', 'Natural Resources', 'Research', 'Conservation', 'Education', 'Economic Development', 'Nutrition']",N/A,N/A,N/A,N/A
10,Agricultural Research Service,Gringlobal,['Active'],"The Agricultural Research Service (ARS) is the chief scientific research agency of the U.S. Department of Agriculture, conducting research to develop solutions to agricultural problems and enhancing the nation's food supply.","['Agriculture', 'Research', 'USDA', 'Food Supply', 'Scientific Agency', 'Sustainability', 'Crop Development', 'Animal Health', 'Environmental Protection', 'Innovation']",$1.5 billion,USDA Budget Reports,"2,000",USDA Employee Statistics
11,Agricultural Research Service,,Not Active,"The Agricultural Research Service was a scientific research agency of the U.S. Department of Agriculture focused on sustainable agriculture, food safety, and nutrition.","['agriculture', 'research', 'food security', 'sustainability', 'nutrition', 'science', 'innovation', 'farming', 'environment', 'food safety']",N/A,N/A,N/A,N/A
12,U.S Access Board,,['Not Active'],"The U.S Access Board was an independent federal agency responsible for ensuring accessibility for people with disabilities in various sectors, including public services and transportation. However, it appears inactive based on the lack of information on its website.","['accessibility', 'disability', 'federal', 'regulations', 'standards', 'public services', 'transportation', 'inclusivity', 'advocacy', 'compliance']",N/A,N/A,N/A,N/A
13,African Development Foundation,,['Not Active'],"The African Development Foundation was established to support African development initiatives and strengthen economic self-sufficiency in African countries, but is currently inactive.","['development', 'Africa', 'economic', 'self-sufficiency', 'foundation', 'aid', 'partnership', 'initiative', 'community', 'support']",Not Available,N/A,Not Available,N/A
14,Architect of the Capitol,Architect of the Capitol,Active,"The Architect of the Capitol (AOC) is responsible for preserving and maintaining the historic buildings, monuments, art, and grounds of the Capitol campus. This includes over 18.4 million square feet of facilities and 570 acres of grounds, ensuring that these landmarks inspire and serve visitors effectively.","['Historic Preservation', 'Capitol Campus', 'Art Restoration', 'Architectural Services', 'Monument Conservation', 'Visitor Experience', 'Cultural Heritage', 'Grounds Maintenance', 'Public Works', 'Government Agency']",Not publicly available,N/A,Not publicly available,N/A
15,Commodity Futures Trading Commission,Commodity Futures Trading Commission,['Active'],"The Commodity Futures Trading Commission (CFTC) is an independent agency of the United States government that regulates the U.S. derivatives markets, which include futures, swaps, and certain kinds of options. The CFTC's mission is to promote the integrity, resilience, and vibrancy of the U.S. economy through sound regulation of the derivatives markets. It also aims to protect market participants and the public from fraud, manipulation, and abusive practices.","['Regulation', 'Derivatives', 'Futures', 'Swaps', 'Fraud Prevention', 'Market Integrity', 'Economic Analysis', 'Consumer Protection', 'Whistleblower Program', 'Financial Technology Innovation']",$300 million (approx.),CFTC Annual Budget Reports,600,CFTC Organizational Chart
16,National Institute of Standards and Technology,National Institute of Standards and Technology,Not Active,"The National Institute of Standards and Technology is a federal agency that develops and promotes measurement standards, but the agency's online presence appears inactive.","['Standards', 'Technology', 'Commerce', 'Measurements', 'Federal', 'Research', 'Innovation', 'Regulations', 'Boulder', 'NIST']",N/A,N/A,N/A,N/A
