"Domain.name","Domain.type","Agency","Organization.name","City","State","Security.contact.email","Domain.Name","Registrar.WHOIS.Server","Registrar.URL","Updated.Date","Creation.Date","Registry.Expiry.Date","Registrar","Registrar.IANA.ID","Registrar.Abuse.Contact.Email","Registrar.Abuse.Contact.Phone","Domain.Status","Registry.Registrant.ID","Registrant.Name","Registrant.Organization","Registrant.Street","Registrant.City","Registrant.State.Province","Registrant.Postal.Code","Registrant.Country","Registrant.Phone","Registrant.Email","Registry.Admin.ID","Admin.Name","Admin.Organization","Admin.Street","Admin.City","Admin.State.Province","Admin.Postal.Code","Admin.Country","Admin.Phone","Admin.Email","Registry.Tech.ID","Tech.Name","Tech.Organization","Tech.Street","Tech.City","Tech.State.Province","Tech.Postal.Code","Tech.Country","Tech.Phone","Tech.Fax","Tech.Email","Registry.Security.ID","Security.Name","Security.Organization","Security.Street","Security.City","Security.State.Province","Security.Postal.Code","Security.Country","Security.Phone","Security.Email","Name.Server","DNSSEC","Registrant.Fax","Admin.Fax","president","simple_date"
"achp.gov","Federal - Executive","Advisory Council on Historic Preservation","Advisory Council on Historic Preservation","Washington","DC","domainsecurity@achp.gov","achp.gov","whois.nic.gov","https://get.gov","2024-01-08T02:46:50Z",1997-10-02 01:29:20,"2025-09-15T20:05:18Z","Cybersecurity and Infrastructure Security Agency","8888888","","","serverTransferProhibited https://icann.org/epp#serverTransferProhibited","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","domainsecurity@achp.gov","ns-605.awsdns-11.net","signedDelegation","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","Bill Clinton",1997-10-02
"arc.gov","Federal - Executive","Appalachian Regional Commission","Appalachian Regional Commission","Washington","DC","(blank)","arc.gov","whois.nic.gov","https://get.gov","2024-01-08T02:48:06Z",1997-10-02 01:29:20,"2025-09-30T04:00:00Z","Cybersecurity and Infrastructure Security Agency","8888888","","","serverTransferProhibited https://icann.org/epp#serverTransferProhibited","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","karl.ns.cloudflare.com","unsigned","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","Bill Clinton",1997-10-02
"asc.gov","Federal - Executive","Appraisal Subcommittee of the Federal Financial Institutions Examination Council","Appraisal Subcommittee","Washington","DC","(blank)","asc.gov","whois.nic.gov","https://get.gov","2024-01-08T02:48:21Z",1997-10-02 01:29:20,"2025-09-28T19:37:55Z","Cybersecurity and Infrastructure Security Agency","8888888","","","serverTransferProhibited https://icann.org/epp#serverTransferProhibited","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","edns4.ultradns.org","signedDelegation","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","Bill Clinton",1997-10-02
"aftac.gov","Federal - Executive","Department of Defense","Air Force Technical Applications Center","Patrick AFB","FL","dco@aftac.gov","aftac.gov","whois.nic.gov","https://get.gov","2024-01-08T02:47:03Z",1997-10-02 01:29:20,"2025-09-30T04:00:00Z","Cybersecurity and Infrastructure Security Agency","8888888","","","serverTransferProhibited https://icann.org/epp#serverTransferProhibited","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","dco@aftac.gov","dstork.aftac.gov","unsigned","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","Bill Clinton",1997-10-02
"ameslab.gov","Federal - Executive","Department of Energy","Ames Laboratory","Ames","IA","cybersec@ameslab.gov","ameslab.gov","whois.nic.gov","https://get.gov","2024-08-21T12:47:39Z",1997-10-02 01:29:20,"2025-09-30T04:00:00Z","Cybersecurity and Infrastructure Security Agency","8888888","","","serverTransferProhibited https://icann.org/epp#serverTransferProhibited","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","cybersec@ameslab.gov","scsds.ameslab.gov","signedDelegation",NA,NA,"Bill Clinton",1997-10-02
"anl.gov","Federal - Executive","Department of Energy","Argonne National Laboratory","Argonne","IL","CIRC@JC3.DOE.GOV","anl.gov","whois.nic.gov","https://get.gov","2024-05-29T23:48:57Z",1997-10-02 01:29:20,"2025-09-30T04:00:00Z","Cybersecurity and Infrastructure Security Agency","8888888","","","serverTransferProhibited https://icann.org/epp#serverTransferProhibited","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY",NA,"REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","CIRC@JC3.DOE.GOV","t1dns2.anl.gov","signedDelegation",NA,NA,"Bill Clinton",1997-10-02
"arm.gov","Federal - Executive","Department of Energy","Battelle Pacific Northwest National Laboratory","Richland","WA","security@arm.gov","arm.gov","whois.nic.gov","https://get.gov","2024-01-08T02:48:17Z",1997-10-02 01:29:20,"2025-09-30T04:00:00Z","Cybersecurity and Infrastructure Security Agency","8888888","","","serverTransferProhibited https://icann.org/epp#serverTransferProhibited","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","security@arm.gov","adns2.es.net","signedDelegation",NA,NA,"Bill Clinton",1997-10-02
"ahcpr.gov","Federal - Executive","Department of Health and Human Services","Agency for Healthcare Research and Quality","Rockville","MD","ResponsibleDisclosure@hhs.gov","ahcpr.gov","whois.nic.gov","https://get.gov","2024-01-08T02:47:05Z",1997-10-02 01:29:20,"2025-08-26T09:28:18Z","Cybersecurity and Infrastructure Security Agency","8888888","","","serverTransferProhibited https://icann.org/epp#serverTransferProhibited","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","ResponsibleDisclosure@hhs.gov","rh202ns2.355.dhhs.gov","unsigned","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","Bill Clinton",1997-10-02
"arctic.gov","Federal - Executive","National Science Foundation","U.S. Arctic Research Commission","Arlington","VA","dallas@sec-data-eng.com","arctic.gov","whois.nic.gov","https://get.gov","2024-07-22T23:01:40Z",1997-10-02 01:29:20,"2024-11-18T14:04:04Z","Cybersecurity and Infrastructure Security Agency","8888888","","","serverTransferProhibited https://icann.org/epp#serverTransferProhibited","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","dallas@sec-data-eng.com","ns3.nsf.gov","signedDelegation","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","Bill Clinton",1997-10-02
"ag.gov","Federal - Executive","U.S. Department of Agriculture","U.S. Department of Agriculture","Tucson","AZ","cyber.incidents@asoc.usda.gov","ag.gov","whois.nic.gov","https://get.gov","2024-01-08T02:47:04Z",1997-10-02 01:29:20,"2025-09-30T04:00:00Z","Cybersecurity and Infrastructure Security Agency","8888888","","","serverTransferProhibited https://icann.org/epp#serverTransferProhibited","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","cyber.incidents@asoc.usda.gov","ns2.usda.gov","signedDelegation",NA,NA,"Bill Clinton",1997-10-02
