"Year","Quarter","Department.of.Health.and.Human.Services","Department.of.Defense","Social.Security.Administration","Department.of.the.Treasury","Department.of.Veterans.Affairs","Office.of.Personnel.Management","Department.of.Agriculture","Department.of.Housing.and.Urban.Development","Department.of.Labor","Department.of.Homeland.Security","Department.of.Education","Department.of.Transportation","Department.of.Energy","Department.of.Justice","Department.of.State","General.Services.Administration","Federal.Communications.Commission","Department.of.the.Interior","National.Aeronautics.and.Space.Administration","Railroad.Retirement.Board","Department.of.Commerce","Corps.of.Engineers...Civil.Works","Pension.Benefit.Guaranty.Corporation","Agency.for.International.Development","Environmental.Protection.Agency","National.Science.Foundation","Securities.and.Exchange.Commission","Executive.Office.of.the.President","Small.Business.Administration","Patient.Centered.Outcomes.Research.Trust.Fund","Peace.Corps","Nuclear.Regulatory.Commission","Consumer.Financial.Protection.Bureau","U.S..Agency.for.Global.Media","Corporation.for.National.and.Community.Service","National.Archives.and.Records.Administration","Government.Accountability.Office","The.Judicial.Branch","Equal.Employment.Opportunity.Commission","District.of.Columbia.Courts","Federal.Trade.Commission","National.Labor.Relations.Board","Commodity.Futures.Trading.Commission","Export.Import.Bank.of.the.United.States","Court.Services.and.Offender.Supervision.Agency","Institute.of.Museum.and.Library.Services","Appalachian.Regional.Commission","Armed.Forces.Retirement.Home","Consumer.Product.Safety.Commission","Millennium.Challenge.Corporation","National.Transportation.Safety.Board","National.Endowment.for.the.Arts","International.Trade.Commission","Federal.Election.Commission","Gulf.Coast.Ecosystem.Restoration.Council","United.States.Trade.and.Development.Agency","American.Battle.Monuments.Commission","Corporation.for.Travel.Promotion","Merit.Systems.Protection.Board","African.Development.Foundation","Inter.American.Foundation","United.States.Court.of.Appeals.for.Veterans.Claims","Surface.Transportation.Board","Defense.Nuclear.Facilities.Safety.Board","Federal.Maritime.Commission","Office.of.Special.Counsel","Federal.Labor.Relations.Authority","Selective.Service.System","Denali.Commission","Federal.Mine.Safety.and.Health.Review.Commission","Office.of.Government.Ethics","Institute.of.American.Indian.and.Alaska.Native.Culture.and.Arts.Development","Council.of.the.Inspectors.General.on.Integrity.and.Efficiency","National.Mediation.Board","Farm.Credit.System.Insurance.Corporation","Occupational.Safety.and.Health.Review.Commission","United.States.Chemical.Safety.Board","Commission.on.Civil.Rights","Advisory.Council.on.Historic.Preservation","Access.Board","Election.Assistance.Commission","Federal.Mediation.and.Conciliation.Service","Committee.for.Purchase.from.People.Who.Are.Blind.or.Severely.Disabled","Delta.Regional.Authority","Marine.Mammal.Commission","Commission.of.Fine.Arts","Legislative.Branch.Boards.and.Commissions","National.Credit.Union.Administration","Congressional.Executive.Commission.on.People.s.Republic.of.China","Northern.Border.Regional.Commission","Barry.Goldwater.Scholarship.and.Excellence.In.Education.Foundation","United.States.Enrichment.Corporation.Fund","Federal.Deposit.Insurance.Corporation","Unreported.Data","National.Endowment.for.the.Humanities","John.F..Kennedy.Center.for.the.Performing.Arts","Morris.K..Udall.and.Stewart.L..Udall.Foundation","National.Council.on.Disability","Administrative.Conference.of.the.U.S.","U.S..Interagency.Council.on.Homelessness","Commission.for.the.Preservation.of.America.s.Heritage.Abroad","Privacy.and.Civil.Liberties.Oversight.Board","Harry.S.Truman.Scholarship.Foundation","James.Madison.Memorial.Fellowship.Foundation","Nuclear.Waste.Technical.Review.Board","Vietnam.Education.Foundation","Japan.United.States.Friendship.Commission","National.Capital.Planning.Commission","Overseas.Private.Investment.Corporation","Federal.Financial.Institutions.Examination.Council","U.S..International.Development.Finance.Corporation","Federal.Permitting.Improvement.Steering.Council","Office.of.Navajo.and.Hopi.Indian.Relocation","Public.Buildings.Reform.Board","Presidio.Trust","Commission.On.Combating.Synthetic.Opioid.Trafficking"
2017,2,814714408047.28,528288078948.38,526525922118.97,525392751346.6,112678420418.4,96954618759.04,81294278042.91,58834621084.62,54471498639.16,33540897653.82,31074430990.74,28733195144.84,18830863450.12,17894508209.44,16959236221.2,12266117312.35,11685306701.59,10554795005.5,10507844741.37,7863975989.19,7266540817.59,7169506906.84,6195386613.86,6092955752.98,3225349611.54,1651489308.65,759080469.95,682047349.8,543998342.52,453322701.17,400336209.34,378806126.72,348841276.78,337854999.81,324126022.27,299643424.46,275517889.23,249131577.06,169876481.24,141532949.1,138550594.48,132077829.31,126183029.88,105568610.16,103901900.11,99167477.41,78773803.47,57417376.55,56263657.12,53412516.06,47030393.91,43648087.69,42131036.54,36876167.45,35807505.64,32534550.86,31970128.55,25311761,24982869.62,24031377.46,23639061.62,19295760,14077644.23,13087330.34,12634286.33,12331701.05,12168223.42,9733364.2,8421216.32,8366303.63,8024683.63,6666045,6423729.6,5779036.32,5147866.28,5087666.89,4876875.76,4758255.91,4216847.63,3856735.53,3620413.87,2884636.48,2730845.99,1931635.04,1573023.4,1206749.79,1167123.62,1132500,994817.96,643285.32,389828.68,0,-1055655089.22,-50799496683.47,,,,,,,,,,,,,,,,,,,,,,
2017,3,393426309349.51,227057920451.51,267155188356.16,290148918168.98,29119589779.69,47875938087.35,16907313902.22,6898917804.3,-15842335232.7,16786931956.77,52249140265.84,24173917722.86,10383595062.55,9916957219.39,8670777148.14,5804093753.26,2343633247.03,5758664771.2,6433128475.99,3883725966.56,3461211268.89,5306559194.11,-1498148895.6,2495332864.91,2201201105.72,2175827751.6,428630023.07,-151779242.68,1124289694.26,34801.6299999952,-64887623.92,243470764.67,284908213.44,187259718.92,451487454.1,150057933.98,157784788.19,119873148.02,110269574.39,71244071.55,76431018.68,70717436.73,61614779.42,97883691.14,57759694.77,85071124.2,27495827.21,14247470.04,30020773.71,845605603.9,32386465.44,59021986.64,22358827.79,20476480.11,30583339.89,6449642.67,18390946.24,53194575,11800293.61,-2732524.58,-3819981.3,4426985.05,7757818.14,7310519.82,6708278.08,7033963.58,6120716.82,6493164.53,4287006.75,4111643.82,2854757.59,1168955,983832.53,2363115.75,-1706592.89,2674913.84,3034695.39,2425121.08,,1413510.33,2048137.56,-305718.53,1981181.05,1019770.03,828413.62,,574172.33,0,573477.41,142348.68,2114651.44,0,-3142090069.41,117426139400.48,,,,,,,,,,,,,,,,,,,,,,
2017,4,438848813726.89,258860206708.11,265465710322.94,130400174294.68,49925937034.37,51751030110.97,37468155888.49,12619242783.19,14058050937.83,31853812638.72,56598297275.75,38230481144.24,12405455148.93,13589439730.08,17900298335.38,8101382346.89,2571021704.96,9175336715.83,5737261940.03,3822537693.25,5138685801.56,5725453851.97,1664238470.21,6239561906.49,4928066832.78,3926948233.98,491720327.23,235155499.94,665669123.01,-34801.6299999952,138668105.51,318249781.94,222256965.36,267452977.75,521530873.62,162350360.46,147718579.73,115553816.87,93707689.69,92174806.85,99765446.1,74654963.98,57278645.84,14438616,100172349.49,48443569.78,55568637.25,9975779.33,42437585.87,196105668.45,28022708.55,56540861.37,30952858.3,17113018.47,39631829.17,52110605.24,29261784.52,14593664,10669075.42,12432877.4,12506101.96,9030235.41,11565747.29,10419388.11,7989363.83,5412863.75,7929648.15,7036629.82,22232703.59,4075904.06,5227910.16,7377000,1282442.63,4340881.42,667332.69,5002616.36,3064497.2,2438722.16,,2762384.26,2845204.44,3526881.82,3445954.84,22002918.52,1027855.47,,860301.54,2353085,522326.08,8967605.45,174424.82,0,-499520946.63,31322068312.92,44962901.53,14706141.77,-2526726.87,,1046593.65,1231053.96,374598.99,,,,,,,,,,,,,,,
2018,1,366487248605.32,320657316248.38,270202653227.17,209558716777.13,51171842968.56,48797620486.49,50692884493.21,12781130562.26,11978695945.26,33415119128.09,25836977977,13304058609.05,7643319222.64,8457974370.3,6484708795.93,6034102631.89,3101024710.64,4810763158.39,4444030878.1,4083163612.24,3339203766.63,8005508564.66,1604075197.07,1221455966.41,1415351630.62,539146946.72,345947644.73,126853432.31,830451172.94,466197127.2,94920350.19,164174901.14,166427064.73,148132024.03,78023961,137209280.21,130946170.91,118291707.93,77631086.16,57243732.54,63718408.86,61786948.63,50030879.53,78819719.31,47317075.67,3798821.13,7019619.34,20437882.05,26168161.76,61365314.11,18790511.71,6755386.94,17255220.25,17455893.06,9061933.41,5529157.59,11284718.31,20949260,11935431.36,3793659.32,3831891.14,7419912.23,7000835.43,6486568.15,6111251.91,5939732.72,6149991.22,4733196.65,3678230.72,3849527.69,3545927.6,0,4588669.62,2565773.7,1859015.38,527174.39,2302333.87,2086005.72,,1876414.74,1841655.16,4831162.41,1811980.24,6313956.51,832524.12,,0,573500,,390856.58,188176.77,0,-604585485.99,9676474076.5,22638764.7,7172757,1619206.1,688166.17,798443.76,739912.87,161689.14,3319990.79,539550.57,1420591.1,800075.01,468010.95,,,,,,,,,,
2018,2,461278191615.58,233408801823.43,276340975581.68,348795240685.36,50197296494.03,50968474295.01,51322126607.73,10452133983.75,13026955870.56,21417508012.1,5115117979.24,15808865265.97,8663139971.52,8644217949.65,7998026856.61,6064356318.12,1910752550.91,4977050942.82,5511927590.19,4053207728.01,9164010328.19,5599419336.96,1556367323.23,2899336854.48,1546747245.79,1027014170.3,484189392.92,191560610,1155241858,1584368.72000003,83290105.73,198189323.36,238629657.09,176291004.86,195720031.27,161028182.94,188662025.93,216810955.53,80338837.56,81503855.38,77168636.64,61411290.41,59181163.03,24320954,53257218.92,10847153.36,24899423.09,23794649.65,27841691.02,455183656.07,30289787.56,24924620.79,18145818.21,20709059.96,5868627.59,11496266.15,18571295.42,36794102,12829722.55,4264959.64,6033517.59,8025860.24,6991564.65,6472568.14,6189713.63,6303633.03,6261253.59,5555505.41,5221455.88,4277051.98,4470841.12,0,2013841.59,3043018.75,176313245.97,4900452.66,2675527.35,2794400.35,,2459938.96,1677100.34,25819435.85,2217938.33,301467.52,812368.72,,1e+05,766322,,460421.01,207342.32,,1684681102.58,4295282.85000038,29822011.99,14533409.37,3163778.91,,637544.88,981830.4,169180.04,1158842.1,494781.27,563845.57,798427.73,-254786.92,,,,,,,,,,
2018,3,432551195343.4,253195218107.36,278877481161.75,319163033108.23,50829114757.32,51002558599.68,33777179732.56,33731298764.97,13105780163.61,21546984281.97,15623814451.59,26261248363.34,16941831438.14,8922643600.23,9400293196.26,6532313582.97,3620912651.39,7323794906.6,7421175059.03,3894672065.95,4012973642.21,6107512432.41,1568839726.74,3204591561.08,2277431965.29,1676098649.97,472730037.75,249777847.3,424619618,81173.25,129940236.69,269344402.47,138199737.03,202046726.24,534279593.49,153472587.15,117770316.54,58230587.88,112729118.54,120864562.12,95082741.6,75331428.65,57040614.07,667962180.13,63883145.91,174362212.17,15391757.33,25663855.74,32806891.95,45426406.14,31791857.82,76751602.48,26209353.23,16229690.89,46091187.85,11422216.74,38139310.44,10381094,10085605.9,13715676.16,6729049.34,10232711.94,8849306.61,5887020.63,7526463.42,8373985.05,6492569.06,6404563.64,38636435.98,3606214.28,2736975.41,0,1649958.11,1968864.85,1201843.55000001,2941716.95,2565569.14,2666467.73,,1189935.88,382749642.81,10399315.06,2245839.24,1102499.41,815632.92,,0,503000,,316008.47,1944687.99,,492383724.05,22694342995.78,49630416.99,19697090.19,3231710.72,,771842.22,1005130.81,140913.51,1568149.95,1520718.04,-266495.58,777454.6,481006.1,,,,,,,,,,
2018,4,418811367689.44,285177188574.29,271834580896.3,163784348105.06,52619843757.92,53876795706.41,47756850082.32,19658408967.61,12139491547.72,30506671803.99,48650128571.36,40781066236.68,11872275465.66,13945520996.47,19110461200.84,8592840648.71,2426689408.27,9232690301.63,5997638869.72,3872289447.8,5323978194.72,7164173911.37,1634492684.77,8170698766.42,5584305831.45,4890464146.91,552137228.22,233261733.27,358596558.86,296907401.84,113969963.55,302305288.12,118127510.3,283593009.2,503418425.08,166532840.99,172288036.55,103039013.05,114419746.14,77062314.06,90268115.71,,143790372.8,10764845.9899999,79845294.6,53657623.48,9718408.87,11468822.97,42313567.44,142371845.24,28974060.96,45372528.47,33835522.83,20375964.78,33012552.24,49283042.16,31959762.44,25275544,11469812.44,11495563.47,15137300.7,8940170.01,12571651.57,9556544.9,7311014.52,5823735.6,7505051.41,6479586.96,3503008.81,4665088.43,5965071.96,9835000,797803.94,4226780.46,422656.349999994,4881772.65,3397465.02,2217385.27,2593014.47,2980699.46,1988502.02999997,15681478.34,0,-26602.4400000004,1104175.9,,0,757294.93,,11253005.01,164708.56,,440247080.95,11422551342.48,41836280.08,14874617.14,3369374.67,802508.32,-89439.8399999999,986051.32,222377.11,1547246.83,1250309.92,383767.62,574951.58,269944.3,637707.53,0,,,,,,,,
2019,1,421925262374.39,398949636935.96,294118328968.44,229234542356.15,54740947213.61,51628953860.01,44987257696.78,12476621355.4,15459711997.24,21548235890.74,28507739522.75,12737721411.88,18869752223.27,9253856459.42,6526458549.64,6984731584.4,1894169133.6,5263407210.83,4691304472.22,4099940908.36,3051786172.66,7266826501.61,1633991788.83,1646467980.38,1372919235.74,443313192.33,326472712.17,156858679.2,417852091.98,468139482.7,86847532.21,166438437.44,132922954.35,164833366.95,65233363.92,130476026.9,167857037.86,117682270.45,78649019.52,60842651.35,64962834,60031963.54,48903111.17,40106512.9,49048358.97,6052626.69,10196335.65,43425679.02,24210824.07,64214574.98,21855924.88,9641813.21,23509872.31,13205858.18,18370174.41,6351212.63,20230306.32,31739821,11298190.39,5550723.46,3709622.3,14558255.99,8326579.4,5575593.29,5933822.45,6457748.8,5923581.16,4724864.41,3152010.05,3922964.46,3760149.05,0,5662438.1,2200849.5,1689226.41,2681464.01,2186577.42,2110123.42,2395035.35,1473816.72,1691205.98,,3010215.11,478908.81,600200.58,678040.9,0,2037500,,182088.37,252907.07,0,496236026.5,15079915750.72,21856320.54,5380377.03,3451077.98,1227419.28,678856.76,805843.06,121391.96,2777775.85,424789.46,1280592.9,1110529.85,,1032534.2,1800549.54,28063831.32,,,,,,,
2019,2,463943350878.87,256813197900.19,283402230791.07,333617895206.24,52933397859.77,52929148078.02,48892611348.13,11192032636.8,11538296928.26,17845964705.13,3764473329.3,20442767527.83,11147973280.37,8921621920.84,9034211406.9,6407965965.46,1763645408.11,5215431856.63,6243215176.17,4178301427.25,3837711161.64,4530540093.03,1618893595.14,1760499749.14,1898056035.37,1386107021.3,430832361.35,90343132.72,615297896.12,193396436.8,103527980.96,227015530.77,146734032.17,176233439.18,334722289.68,163937066.54,147350374.54,271809752.69,102512016.04,75687266.7,78653145.2,59392767.61,58278836.52,16695980.91,50372122.27,165774829.38,34586394.62,17811612.97,27299412.43,39549138.85,31786105.44,26183131.44,18623693.24,15861405,2691100.65,7920733.13,17184104.52,0,13197907.19,10219004.73,5069179.35,6831543.42,8299479.05,1914536.71,7597204.41,7438044.8,7282789.66,5723016.99,5839774.95,4075943.61,4281923.8,0,1192557.78,2733025.76,66827156.7,2693116.53,2685646.42,2669535.27,1875731.99,1998063.31,2063394.53,,2105639.13,2017615.52,768053.43,526048.93,50000,7500,,459923.84,111837.72,0,468756279.57,9020153735.68,57101054.5,6585385.6,3724407.3,644995.99,668659.77,,166858.81,1980841.28,1278648.62,145902.28,712788.51,,821188.9,2192735.42,44553675.03,,,,,,,
2019,3,450160673019.16,232312421107.41,290272895210.46,344483928033.87,51543609444.14,52897076929.67,47314386659.33,24332579692.61,10960329247.31,23793935039.08,41274180441.96,23650884818.3,7617764449.05,9248509452.98,9700343791.57,6593194109.19,4654545367.85,7342088438.71,6665469985.97,3864302669.99,4105782300.7,5185589494.64,1594030332.95,3865843365.29,2186015821.11,1835841181.34,490598343.03,358515302.5,296228497.29,30912096.96,145781006.24,205462742.85,125076355.72,194675113.68,200090453.78,166336368.07,158109976.57,37108180.82,99796791.44,79927810.2,87042448.83,66520874.72,66877869.84,546074716.19,62439603.73,26566046.76,28706053.86,12294861.54,33308021.11,57846530.99,24693959.12,84236470.84,27889094.23,15792579.92,15839405.35,13777012.06,21638232.49,44930432,11472009.11,11225302.73,4761926.25,5629055.1,7879334.85,7420850.83,5471343.27,6084269.47,5072140.94,7766051.15,1386044.18,3520372.76,2988513.1,0,1362938.12,3712026.14,761266.400000006,2560430.28,2439595.18,2686318.73,1898944.79,2711603.06,1847384.7,11760351.89,1934276.13,641591.53,921353.84,3386724.84,0,257997.39,,385615.6,1707698.03,0,500544112.17,8606608719.93,25795389.48,13633645.5,2584643.73,595073.18,868284.86,,221675.17,2745502.76,518313.67,354513.66,970227.61,,3478289.92,1498584.6,386737964.35,757615.85,,,,,,
